id,alpha-2,name,description,audience_size
6025000826583,AR,Vivieron en Argentina (anteriormente expatriados - Argentina),Personas que vivían en Argentina y ahora viven en el extranjero,1235040
6019564340583,BR,Vivieron en Brasil (anteriormente expatriados - Brasil),Personas que vivían en Brasil y ahora viven en el extranjero,3502581
6025054896983,CL,Vivieron en Chile (anteriormente expatriados - Chile),Personas que vivían en Chile y ahora viven en el extranjero,483398
6019673525983,CO,Vivieron en Colombia (anteriormente expatriados - Colombia),Personas que vivían en Colombia y ahora viven en el extranjero,2110356
6018797127383,CU,Vivieron en Cuba (anteriormente expatriados - Cuba),Personas que vivían en Cuba y ahora viven en el extranjero,1199852
6019673762183,DO,Vivieron en República Dominicana (anteriormente expatriados - República Dominicana),Personas que vivían en República Dominicana y ahora viven en el extranjero,1336136
6018797373783,HT,Vivieron en Haití (anteriormente expatriados - Haití),Personas que vivían en Haití y ahora viven en el extranjero,967238
6019673777983,SV,Vivieron en El Salvador (anteriormente expatriados - El Salvador),Personas que vivían en El Salvador y ahora viven en el extranjero,1307288
6019673808383,GT,Vivieron en Guatemala (anteriormente expatriados - Guatemala),Personas que vivían en Guatemala y ahora viven en el extranjero,1448971
6059793664583,HN,Vivieron en Honduras (anteriormente expatriados - Honduras),Personas que vivían en Honduras y ahora viven en el extranjero,1161427
6071248894383,NI,Vivieron en Nicaragua (anteriormente expatriados - Nicaragua),Personas que vivían en Nicaragua y ahora viven en el extranjero,568818
6027149008183,PE,Vivieron en Perú (anteriormente expatriados - Perú),Personas que vivían en Perú y ahora viven en el extranjero,1365913
6026404871583,VE,Vivieron en Venezuela (anteriormente expatriados - Venezuela),Personas que vivían en Venezuela y ahora viven en el extranjero,4273876
